audio_path,queen_status,queen_presence,hive_number,device,datetime,hive_temp,hive_humidity,class_name
../archive/sound_files/sound_files/2022-06-25--11-42-48_2__segment1.wav,0,1,1,2,2022-06-25 11:42:48,37.73,26.85,Queenright
../archive/sound_files/sound_files/2022-07-12--15-12-56_2__segment2.wav,3,1,1,2,2022-07-12 15:12:56,32.89,29.52,Queen_Accepted
../archive/sound_files/sound_files/2022-06-29--21-55-24_2__segment3.wav,2,1,1,2,2022-06-29 21:55:24,20.08,33.48,Queen_New
../archive/sound_files/sound_files/2022-07-04--20-52-03_2__segment0.wav,3,1,1,2,2022-07-04 20:52:03,24.03,44.74,Queen_Accepted
../archive/sound_files/sound_files/2022-07-03--14-09-50_2__segment1.wav,3,1,1,2,2022-07-03 14:09:50,34.13,28.77,Queen_Accepted
../archive/sound_files/sound_files/2022-07-10--01-47-45_2__segment0.wav,3,1,1,2,2022-07-10 1:47:45,17.36,43.66,Queen_Accepted
../archive/sound_files/sound_files/2022-07-03--22-07-30_2__segment5.wav,3,1,1,2,2022-07-03 22:07:30,18.37,34.11,Queen_Accepted
../archive/sound_files/sound_files/2022-06-24--15-58-28_2__segment3.wav,0,1,1,2,2022-06-24 15:58:28,34.42,26.91,Queenright
../archive/sound_files/sound_files/2022-07-03--08-14-28_2__segment0.wav,3,1,1,2,2022-07-03 8:14:28,23.09,36.99,Queen_Accepted
../archive/sound_files/sound_files/2022-07-05--10-50-37_2__segment1.wav,3,1,1,2,2022-07-05 10:50:37,46.88,24.73,Queen_Accepted
../archive/sound_files/sound_files/2022-07-07--14-18-57_2__segment2.wav,3,1,1,2,2022-07-07 14:18:57,35.23,25.3,Queen_Accepted
../archive/sound_files/sound_files/2022-06-16--02-17-07_2__segment4.wav,0,1,1,2,2022-06-16 2:17:07,18.86,34.28,Queenright
../archive/sound_files/sound_files/2022-07-05--03-54-55_2__segment2.wav,3,1,1,2,2022-07-05 3:54:55,21.05,48.32,Queen_Accepted
../archive/sound_files/sound_files/2022-07-08--17-08-46_2__segment0.wav,3,1,1,2,2022-07-08 17:08:46,29.23,38.06,Queen_Accepted
../archive/sound_files/sound_files/2022-07-10--16-38-56_2__segment5.wav,3,1,1,2,2022-07-10 16:38:56,35.06,22.36,Queen_Accepted
../archive/sound_files/sound_files/2022-06-16--10-12-01_2__segment1.wav,0,1,1,2,2022-06-16 10:12:01,46.54,16.59,Queenright
../archive/sound_files/sound_files/2022-07-11--01-31-46_2__segment4.wav,3,1,1,2,2022-07-11 1:31:46,19.74,43.84,Queen_Accepted
../archive/sound_files/sound_files/2022-06-26--21-39-11_2__segment5.wav,1,0,1,2,2022-06-26 21:39:11,20.47,41.57,Queenless
../archive/sound_files/sound_files/2022-07-07--01-27-48_2__segment4.wav,3,1,1,2,2022-07-07 1:27:48,19.8,43.08,Queen_Accepted
../archive/sound_files/sound_files/2022-07-06--06-40-12_2__segment3.wav,3,1,1,2,2022-07-06 6:40:12,21.38,46.34,Queen_Accepted
../archive/sound_files/sound_files/2022-06-25--20-00-05_2__segment5.wav,1,0,1,2,2022-06-25 20:00:05,25.02,35.65,Queenless
../archive/sound_files/sound_files/2022-06-27--05-32-42_2__segment5.wav,1,0,1,2,2022-06-27 5:32:42,20.99,41.18,Queenless
../archive/sound_files/sound_files/2022-06-26--03-53-30_2__segment3.wav,1,0,1,2,2022-06-26 3:53:30,18.24,40.26,Queenless
../archive/sound_files/sound_files/2022-07-04--07-00-21_2__segment2.wav,3,1,1,2,2022-07-04 7:00:21,21.7,36.69,Queen_Accepted
../archive/sound_files/sound_files/2022-06-26--13-46-18_2__segment4.wav,1,0,1,2,2022-06-26 13:46:18,42.36,17.97,Queenless
../archive/sound_files/sound_files/2022-07-07--21-15-59_2__segment4.wav,3,1,1,2,2022-07-07 21:15:59,20.9,36.76,Queen_Accepted
../archive/sound_files/sound_files/2022-06-16--10-12-01_2__segment3.wav,0,1,1,2,2022-06-16 10:12:01,46.54,16.59,Queenright
../archive/sound_files/sound_files/2022-07-04--19-52-59_2__segment0.wav,3,1,1,2,2022-07-04 19:52:59,26.55,38.84,Queen_Accepted
../archive/sound_files/sound_files/2022-06-24--14-59-22_2__segment1.wav,0,1,1,2,2022-06-24 14:59:22,35.06,25.9,Queenright
../archive/sound_files/sound_files/2022-06-24--15-58-28_2__segment5.wav,0,1,1,2,2022-06-24 15:58:28,34.42,26.91,Queenright
../archive/sound_files/sound_files/2022-07-04--02-04-13_2__segment5.wav,3,1,1,2,2022-07-04 2:04:13,17.8,34.25,Queen_Accepted
../archive/sound_files/sound_files/2022-06-15--08-32-07_2__segment2.wav,0,1,1,2,2022-06-15 8:32:07,37.82,27.19,Queenright
../archive/sound_files/sound_files/2022-06-27--15-16-06_2__segment2.wav,1,0,1,2,2022-06-27 15:16:06,33.24,26.21,Queenless
../archive/sound_files/sound_files/2022-06-24--20-53-47_2__segment5.wav,0,1,1,2,2022-06-24 20:53:47,25.31,38.76,Queenright
../archive/sound_files/sound_files/2022-07-09--06-58-12_2__segment4.wav,3,1,1,2,2022-07-09 6:58:12,19.67,43.19,Queen_Accepted
../archive/sound_files/sound_files/2022-07-11--08-28-20_2__segment4.wav,3,1,1,2,2022-07-11 8:28:20,37.45,35.05,Queen_Accepted
../archive/sound_files/sound_files/2022-06-27--09-22-28_2__segment3.wav,1,0,1,2,2022-06-27 9:22:28,37.83,34.44,Queenless
../archive/sound_files/sound_files/2022-07-14--13-01-08_2__segment2.wav,3,1,1,2,2022-07-14 13:01:08,47.59,14.63,Queen_Accepted
../archive/sound_files/sound_files/2022-06-29--18-58-09_2__segment1.wav,2,1,1,2,2022-06-29 18:58:09,25.12,30.95,Queen_New
../archive/sound_files/sound_files/2022-07-08--20-08-46_2__segment0.wav,3,1,1,2,2022-07-08 20:08:46,23.42,37.2,Queen_Accepted
../archive/sound_files/sound_files/2022-07-12--06-20-44_2__segment5.wav,3,1,1,2,2022-07-12 6:20:44,18.47,47.31,Queen_Accepted
../archive/sound_files/sound_files/2022-07-03--19-10-34_2__segment4.wav,3,1,1,2,2022-07-03 19:10:34,23.02,35.64,Queen_Accepted
../archive/sound_files/sound_files/2022-06-27--01-35-57_2__segment2.wav,1,0,1,2,2022-06-27 1:35:57,18.54,39.48,Queenless
../archive/sound_files/sound_files/2022-07-06--08-38-42_2__segment0.wav,3,1,1,2,2022-07-06 8:38:42,24.75,45.41,Queen_Accepted
../archive/sound_files/sound_files/2022-07-15--13-25-58_2__segment1.wav,3,1,1,2,2022-07-15 13:25:58,45.83,15.36,Queen_Accepted
../archive/sound_files/sound_files/2022-06-27--18-13-28_2__segment1.wav,1,0,1,2,2022-06-27 18:13:28,30.71,27.77,Queenless
../archive/sound_files/sound_files/2022-07-03--05-16-49_2__segment3.wav,3,1,1,2,2022-07-03 5:16:49,20.59,34.48,Queen_Accepted
../archive/sound_files/sound_files/2022-07-09--20-52-10_2__segment5.wav,3,1,1,2,2022-07-09 20:52:10,21.95,44.67,Queen_Accepted
../archive/sound_files/sound_files/2022-06-30--08-46-38_2__segment3.wav,2,1,1,2,2022-06-30 8:46:38,27.36,39.05,Queen_New
../archive/sound_files/sound_files/2022-06-15--07-32-56_2__segment0.wav,0,1,1,2,2022-06-15 7:32:56,28.26,31.72,Queenright
../archive/sound_files/sound_files/2022-07-12--04-22-20_2__segment2.wav,3,1,1,2,2022-07-12 4:22:20,18.28,47.01,Queen_Accepted
../archive/sound_files/sound_files/2022-06-28--20-28-09_2__segment3.wav,2,1,1,2,2022-06-28 20:28:09,24.21,31.7,Queen_New
../archive/sound_files/sound_files/2022-06-15--23-19-48_2__segment5.wav,0,1,1,2,2022-06-15 23:19:48,19.13,24.49,Queenright
../archive/sound_files/sound_files/2022-07-07--21-15-59_2__segment1.wav,3,1,1,2,2022-07-07 21:15:59,20.9,36.76,Queen_Accepted
../archive/sound_files/sound_files/2022-06-15--14-27-39_2__segment3.wav,0,1,1,2,2022-06-15 14:27:39,36.07,21.25,Queenright
../archive/sound_files/sound_files/2022-06-15--22-20-36_2__segment4.wav,0,1,1,2,2022-06-15 22:20:36,19.15,25.71,Queenright
../archive/sound_files/sound_files/2022-06-25--08-44-24_2__segment0.wav,0,1,1,2,2022-06-25 8:44:24,28.12,41.77,Queenright
../archive/sound_files/sound_files/2022-07-08--02-13-18_2__segment1.wav,3,1,1,2,2022-07-08 2:13:18,17.46,38.83,Queen_Accepted
../archive/sound_files/sound_files/2022-07-13--00-08-52_2__segment2.wav,3,1,1,2,2022-07-13 0:08:52,19.06,46.28,Queen_Accepted
../archive/sound_files/sound_files/2022-07-09--20-52-10_2__segment2.wav,3,1,1,2,2022-07-09 20:52:10,21.95,44.67,Queen_Accepted
../archive/sound_files/sound_files/2022-07-03--04-17-36_2__segment1.wav,3,1,1,2,2022-07-03 4:17:36,20.56,34.4,Queen_Accepted
